,mean,std,raw_min,raw_max,type,bins,normalized
surface_area,4.162207603984551,3.977420413222788,0.0302458266731261,48.70190987398809,,,
volume,0.15015752846220137,0.23682988670047406,0.0,2.436662559417343,,,
compactness,,,,,,,
rectangularity,0.1500979708099986,0.15252935953561667,0.0,1.031901973136971,,,
diameter,1.7325521954445535,0.19147309535426033,1.0640102012675725,2.000000278582397,,,
convexity,0.3001797936084606,0.2562081378446211,0.0,1.7758964633001022,,,
eccentricity,131.30454083578124,1273.1490187072054,1.0487660900838456,55724.26020375126,,,
A3,,,,,histogram,100,sum_to_one
D1,,,,,histogram,100,sum_to_one
D2,,,,,histogram,100,sum_to_one
D3,,,,,histogram,100,sum_to_one
D4,,,,,histogram,100,sum_to_one
