feature,mean,std,min,max
surface_area,0.10001679251832318,1.432083420939242,0.0,22.627435712415345
volume,0.13172234980883712,1.5001068433362166,0.0,20.0297468720749
compactness,0.15032211339217466,1.546719450174602,0.0,23.252342787015984
rectangularity,0.8770512499804201,1.1482682950993675,0.0,14.512094803026955
diameter,0.15172053192983556,1.2152035452500756,0.0,17.829351398837215
convexity,0.888290763225652,1.1821743020987832,0.0,15.853484683246894
eccentricity,0.41745137015704575,1.4407329161671032,0.0,20.034373639161625
A3,0.1091445816950866,0.13459219970516553,0.00016693053300798066,0.838904378231813
D1,0.45863581042580953,0.2937690789758451,0.0,1.0
D2,0.28316241755751126,0.2561408518519913,0.0002390067819195707,1.0
D3,0.3924124418975148,0.32182230668616274,0.0,1.0
D4,0.4084436774809838,0.33035526157573836,3.975905975484029e-05,1.0
