cls,path,n_vertices,n_faces,n_triangles
AircraftBuoyant,data\AircraftBuoyant\m1337.obj,201,340,340
AircraftBuoyant,data\AircraftBuoyant\m1338.obj,8761,16960,16960
AircraftBuoyant,data\AircraftBuoyant\m1339.obj,1878,2790,2790
AircraftBuoyant,data\AircraftBuoyant\m1340.obj,778,1454,1454
AircraftBuoyant,data\AircraftBuoyant\m1341.obj,424,824,824
AircraftBuoyant,data\AircraftBuoyant\m1342.obj,1252,2302,2302
AircraftBuoyant,data\AircraftBuoyant\m1343.obj,178,344,344
AircraftBuoyant,data\AircraftBuoyant\m1344.obj,1061,1914,1914
AircraftBuoyant,data\AircraftBuoyant\m1345.obj,3174,6000,6000
AircraftBuoyant,data\AircraftBuoyant\m1346.obj,742,1374,1374
AircraftBuoyant,data\AircraftBuoyant\m1347.obj,3052,6042,6042
AircraftBuoyant,data\AircraftBuoyant\m1348.obj,747,1382,1382
AircraftBuoyant,data\AircraftBuoyant\m1349.obj,432,640,640
AircraftBuoyant,data\AircraftBuoyant\m1350.obj,1097,1976,1976
AircraftBuoyant,data\AircraftBuoyant\m1351.obj,12985,24464,24464
AircraftBuoyant,data\AircraftBuoyant\m1352.obj,3236,6348,6348
Apartment,data\Apartment\D00045.obj,14865,21021,21021
Apartment,data\Apartment\D00086.obj,20462,40064,40064
Apartment,data\Apartment\D00138.obj,10710,21122,21122
Apartment,data\Apartment\D00156.obj,11745,19222,19222
Apartment,data\Apartment\D00310.obj,5934,9026,9026
Apartment,data\Apartment\D00348.obj,2006,3008,3008
Apartment,data\Apartment\D00366.obj,1294,2539,2539
Apartment,data\Apartment\D00478.obj,15670,24237,24237
Apartment,data\Apartment\D00496.obj,1598,2535,2535
Apartment,data\Apartment\D00626.obj,30598,60450,60450
Apartment,data\Apartment\D00639.obj,4282,7980,7980
Apartment,data\Apartment\D00651.obj,11752,19229,19229
Apartment,data\Apartment\D00681.obj,12682,15474,15474
Apartment,data\Apartment\D00780.obj,8240,13323,13323
Apartment,data\Apartment\D00792.obj,795,1158,1158
Apartment,data\Apartment\D00859.obj,1327,2147,2147
Apartment,data\Apartment\D00860.obj,15670,24235,24235
Apartment,data\Apartment\D00869.obj,4847,7915,7915
Apartment,data\Apartment\D00921.obj,6689,7972,7972
Apartment,data\Apartment\D00953.obj,4156,6132,6132
Apartment,data\Apartment\m463.obj,2022,3655,3655
Apartment,data\Apartment\m464.obj,8297,12794,12794
Apartment,data\Apartment\m465.obj,2335,4363,4363
AquaticAnimal,data\AquaticAnimal\m53.obj,18409,34810,34810
AquaticAnimal,data\AquaticAnimal\m54.obj,18143,33829,33829
AquaticAnimal,data\AquaticAnimal\m55.obj,19505,37013,37013
AquaticAnimal,data\AquaticAnimal\m56.obj,5814,10893,10893
AquaticAnimal,data\AquaticAnimal\m57.obj,18878,36247,36247
AquaticAnimal,data\AquaticAnimal\m58.obj,477,950,950
AquaticAnimal,data\AquaticAnimal\m59.obj,44,83,83
AquaticAnimal,data\AquaticAnimal\m60.obj,1606,3208,3208
AquaticAnimal,data\AquaticAnimal\m61.obj,216,337,337
AquaticAnimal,data\AquaticAnimal\m62.obj,241,478,478
AquaticAnimal,data\AquaticAnimal\m63.obj,1112,1792,1792
AquaticAnimal,data\AquaticAnimal\m64.obj,247,440,440
AquaticAnimal,data\AquaticAnimal\m65.obj,1004,1930,1930
AquaticAnimal,data\AquaticAnimal\m66.obj,4116,8017,8017
AquaticAnimal,data\AquaticAnimal\m67.obj,14000,27996,27996
AquaticAnimal,data\AquaticAnimal\m68.obj,553,1098,1098
AquaticAnimal,data\AquaticAnimal\m69.obj,316,560,560
AquaticAnimal,data\AquaticAnimal\m70.obj,320,560,560
AquaticAnimal,data\AquaticAnimal\m71.obj,420,836,836
AquaticAnimal,data\AquaticAnimal\m72.obj,331,590,590
AquaticAnimal,data\AquaticAnimal\m73.obj,285,562,562
AquaticAnimal,data\AquaticAnimal\m74.obj,162,312,312
AquaticAnimal,data\AquaticAnimal\m75.obj,298,512,512
AquaticAnimal,data\AquaticAnimal\m76.obj,1583,3162,3162
AquaticAnimal,data\AquaticAnimal\m77.obj,11578,23020,23020
AquaticAnimal,data\AquaticAnimal\m78.obj,468,730,730
AquaticAnimal,data\AquaticAnimal\m79.obj,158,226,226
AquaticAnimal,data\AquaticAnimal\m80.obj,1104,2080,2080
AquaticAnimal,data\AquaticAnimal\m81.obj,857,1587,1587
Bed,data\Bed\D00031.obj,1867,3588,3588
Bed,data\Bed\D00110.obj,1926,3644,3644
Bed,data\Bed\D00121.obj,12384,24612,24612
Bed,data\Bed\D00184.obj,7218,14202,14202
Bed,data\Bed\D00210.obj,17296,34247,34247
Bed,data\Bed\D00213.obj,2277,4514,4514
