cls,path,n_vertices,n_faces,n_triangles
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1337_refined_simplified.obj,5140,9812,9812
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1338_simplified.obj,6505,12720,12720
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1339_refined_simplified.obj,4992,6565,6565
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1340_refined_simplified.obj,5120,9977,9977
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1341_refined_simplified.obj,5106,10152,10152
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1342_refined_simplified.obj,5112,9813,9813
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1343_refined_simplified.obj,5101,10190,10190
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1344_refined_simplified.obj,5127,9728,9728
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1345_refined_simplified.obj,5101,9807,9807
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1346_refined_simplified.obj,5106,9955,9955
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1347_refined_simplified.obj,5100,10065,10065
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1348_refined_simplified.obj,5121,9938,9938
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1349_refined.obj,5475,10240,10240
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1350_refined_simplified.obj,5151,10002,10002
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1351_simplified.obj,9057,16774,16774
AircraftBuoyant,step2_results\resampled\AircraftBuoyant\m1352_refined_simplified.obj,5101,10059,10059
Apartment,step2_results\resampled\Apartment\D00045_simplified.obj,9057,11058,11058
Apartment,step2_results\resampled\Apartment\D00086_simplified.obj,9003,17385,17385
Apartment,step2_results\resampled\Apartment\D00138_simplified.obj,9021,17749,17749
Apartment,step2_results\resampled\Apartment\D00156_simplified.obj,9092,13958,13958
Apartment,step2_results\resampled\Apartment\D00310_kept.obj,5934,9026,9026
Apartment,step2_results\resampled\Apartment\D00348_refined_simplified.obj,5128,8667,8667
Apartment,step2_results\resampled\Apartment\D00366_refined_simplified.obj,5104,10079,10079
Apartment,step2_results\resampled\Apartment\D00478_simplified.obj,9071,12054,12054
Apartment,step2_results\resampled\Apartment\D00496_refined_simplified.obj,5138,9098,9098
Apartment,step2_results\resampled\Apartment\D00626_simplified.obj,8966,18176,18176
Apartment,step2_results\resampled\Apartment\D00639_refined_simplified.obj,5113,9612,9612
Apartment,step2_results\resampled\Apartment\D00651_simplified.obj,9088,13951,13951
