cls,path,ext,n_vertices,n_faces,n_triangles,face_type,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,bbox_diag
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1337_simplified_norm.obj,.obj,9045,17608,17608,triangles,-0.4260633075836258,-0.5110635235211168,-0.4206758427169479,0.4836566762919849,0.48893647647888316,0.4890441411586628,0.9097199838756107,1.0,0.9097199838756107,1.6294725828087084
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1338_kept_norm.obj,.obj,8761,16960,16960,triangles,-0.47885347542110007,-0.5524583142335483,-0.4799335481350095,0.4769970515758045,0.4475416857664517,0.4810148698909961,0.9558505269969046,1.0,0.9609484180260056,1.6843610337653099
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1339_refined_norm.obj,.obj,6235,8488,8488,triangles,-0.3022869470686325,-0.33022542695106727,-0.3176822090513099,0.31042040133432447,0.6697745730489327,0.31580407090779006,0.612707348402957,1.0,0.6334862799590999,1.332934792734964
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1340_simplified_norm.obj,.obj,9013,17703,17703,triangles,-0.17931161231020437,-0.1691758946357132,-0.17663447024267254,0.18141048727731598,0.8308241053642869,0.18409079780220236,0.36072209958752033,1.0,0.3607252680448749,1.122605519377522
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1341_refined_norm.obj,.obj,6622,13184,13184,triangles,-0.18667201638171335,-0.38693976228664895,-0.18661859267994588,0.18656483096800508,0.613060237713351,0.18661825466977258,0.3732368473497184,1.0,0.37323684734971846,1.1307570421797575
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1342_simplified_norm.obj,.obj,9120,17646,17646,triangles,-0.35398651417084714,-0.10855382971337077,-0.298143707000092,0.2634734575221627,0.8914461702866292,0.31697204544268026,0.6174599716930098,1.0,0.6151157524427723,1.326508275717257
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1343_simplified_norm.obj,.obj,9001,17990,17990,triangles,-0.35201487769771905,-0.4375951338540935,-0.345723164818654,0.3700071982975385,0.5624048661459065,0.37629891117660347,0.7220220759952576,1.0,0.7220220759952575,1.4292066877988652
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1344_simplified_norm.obj,.obj,9067,17353,17353,triangles,-0.3429451576232207,-0.12746579028794267,-0.34203814232542,0.340316959958118,0.8725342097120573,0.34122497912359534,0.6832621175813387,1.0,0.6832631214490154,1.3905738435818455
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1345_simplified_norm.obj,.obj,9028,17467,17467,triangles,-0.2904603088842271,-0.5259550661290657,-0.2926231023572292,0.3161470375813829,0.4740449338709342,0.31398424410838083,0.60660734646561,1.0,0.6066073464656101,1.3175526348393438
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1346_simplified_norm.obj,.obj,9028,17678,17678,triangles,-0.1406096225688423,-0.14858197554408045,-0.4340641269932834,0.17210510916323596,0.19849696627092353,0.5659358730067167,0.31271473173207825,0.347078941815004,1.0,1.1037455754356111
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1347_simplified_norm.obj,.obj,9021,17781,17781,triangles,-0.15071062323362897,-0.10181850071466296,-0.508705187412473,0.15148514379008604,0.313845684638806,0.491294812587527,0.302195767023715,0.415664185353469,1.0,1.1243215717011812
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1348_simplified_norm.obj,.obj,9030,17679,17679,triangles,-0.14086835610480583,-0.14742237287719856,-0.425633830014864,0.17144006018513613,0.19990182635956438,0.574366169985136,0.312308416289942,0.34732419923676294,1.0,1.103707681526676
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1349_simplified_norm.obj,.obj,9028,16698,16698,triangles,-0.4406828874988529,-0.058372301140242826,-0.13044994053515704,0.559317112501147,0.320788745819944,0.13128478292563975,1.0,0.3791610469601868,0.2617347234607968,1.1010305013926929
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1350_simplified_norm.obj,.obj,9003,17525,17525,triangles,-0.34587934125185965,-0.12684607473829457,-0.02711210420717785,0.6541206587481402,0.15348758750613956,0.2676478894519076,0.9999999999999998,0.2803336622444341,0.29475999365908545,1.0795695512792496
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1351_simplified_norm.obj,.obj,9148,16956,16956,triangles,-0.09645830284412762,-0.07017591058678861,-0.29156168569036695,0.09648905459567758,0.1342904049362453,0.708438314309633,0.1929473574398052,0.2044663155230339,1.0,1.038766170476575
AircraftBuoyant,step2_results\normalized\AircraftBuoyant\m1352_simplified_norm.obj,.obj,9018,17840,17840,triangles,-0.4127885444463357,-0.1509772358630083,-0.15470719627802088,0.5872114555536643,0.21917221644708035,0.16910438286467452,1.0,0.37014945231008867,0.3238115791426954,1.1143897683630914
Apartment,step2_results\normalized\Apartment\D00045_simplified_norm.obj,.obj,10064,12570,12570,triangles,-0.46098273040360255,-0.49248385254380916,-0.3222938874195248,0.519227699317561,0.5075161474561909,0.2800658785273298,0.9802104297211636,1.0,0.6023597659468546,1.5243522474040236
Apartment,step2_results\normalized\Apartment\D00086_simplified_norm.obj,.obj,9112,17620,17620,triangles,-0.5210203592167126,-0.1845613709886543,-0.22142184841225138,0.4789796407832875,0.75056473509398,0.1761847145886038,1.0,0.9351261060826344,0.3976065630008552,1.4256759145116478
Apartment,step2_results\normalized\Apartment\D00138_simplified_norm.obj,.obj,9021,17749,17749,triangles,-0.45214208262415295,-0.2216452939506854,-0.2455200218481165,0.5478579173758471,0.5145167125799689,0.08588538781035161,1.0,0.7361620065306543,0.3314054096584681,1.285209728180633
Apartment,step2_results\normalized\Apartment\D00156_simplified_norm.obj,.obj,8527,13958,13958,triangles,-0.4662639589625539,-0.5428462822749098,-0.36772443458280574,0.533736041037446,0.389094361922849,0.35780546697837756,0.9999999999999999,0.9319406441977589,0.7255299015611834,1.5475487075911742
Apartment,step2_results\normalized\Apartment\D00310_kept_norm.obj,.obj,5934,9026,9026,triangles,-0.46441895941519246,-0.21740089517489578,-0.19846509199778264,0.5355810405848076,0.2797048039914374,0.19993424922596487,1.0,0.4971056991663332,0.39839934122374754,1.185679598893042
Apartment,step2_results\normalized\Apartment\D00348_refined_norm.obj,.obj,6880,12032,12032,triangles,-0.48734821410273005,-0.29152457812334603,-0.49194709422812255,0.5126517858972699,0.29383994137398894,0.11879938389281351,1.0,0.5853645194973349,0.6107464781209361,1.3098331501467937
Apartment,step2_results\normalized\Apartment\D00366_simplified_norm.obj,.obj,9035,17870,17870,triangles,-0.5755797515107259,-0.5368069438279782,-0.4372443441390743,0.424420248489274,0.3453729190600989,0.2898966317993838,1.0,0.8821798628880771,0.7271409759384582,1.5188730392544203
Apartment,step2_results\normalized\Apartment\D00478_simplified_norm.obj,.obj,9153,12591,12591,triangles,-0.4892346173763977,-0.40759522267172527,-0.29181046417203815,0.5107653826236024,0.28137801951793634,0.2577707244857897,1.0,0.6889732421896616,0.5495811886578279,1.3329379623147826
Apartment,step2_results\normalized\Apartment\D00496_refined_norm.obj,.obj,5563,9932,9932,triangles,-0.3567637617072282,-0.3871471744097706,-0.1721788458311764,0.6432362382927719,0.4937208902007108,0.16216342230498823,1.0,0.8808680646104814,0.33434226813616463,1.3739407918513264
Apartment,step2_results\normalized\Apartment\D00626_simplified_norm.obj,.obj,7213,17780,17780,triangles,-0.4887708421184723,-0.30132731011367586,-0.28530096911057606,0.5112291578815277,0.2163876516404308,0.21352021649034184,1.0,0.5177149617541067,0.4988211856009179,1.2316051951938014
Apartment,step2_results\normalized\Apartment\D00639_simplified_norm.obj,.obj,9087,17511,17511,triangles,-0.42761837192847285,-0.3063287218085746,-0.30067594715832785,0.5723816280715273,0.31385017303952717,0.3745401265684457,1.0,0.6201788948481017,0.6752160737267736,1.3566645155800354
Apartment,step2_results\normalized\Apartment\D00651_simplified_norm.obj,.obj,8526,13951,13951,triangles,-0.4430678331225911,-0.4328196012982656,-0.3245212046976619,0.5569321668774089,0.5616936836360518,0.3286582366865899,1.0,0.9945132849343173,0.6531794413842518,1.5542522499767824
Apartment,step2_results\normalized\Apartment\D00681_simplified_norm.obj,.obj,10530,12557,12557,triangles,-0.500111329652741,-0.3900797574880781,-0.23842902930313623,0.49988867034725903,0.3857108307955386,0.39654189054614547,1.0,0.7757905882836167,0.6349709198492817,1.415994034565006
Apartment,step2_results\normalized\Apartment\D00780_simplified_norm.obj,.obj,6859,10574,10574,triangles,-0.4590662309982285,-0.3342190947464191,-0.13195504244254894,0.5409337690017715,0.2701483716886292,0.16405725724569326,1.0,0.6043674664350482,0.29601229968824216,1.2053560951236946
Apartment,step2_results\normalized\Apartment\D00792_simplified_norm.obj,.obj,9062,16650,16650,triangles,-0.6223354837234467,-0.598201797917296,-0.3065452453663436,0.3620681447221337,0.4017982020827039,0.4859443625223963,0.9844036284455804,0.9999999999999999,0.7924896078887399,1.6115490319281238
Apartment,step2_results\normalized\Apartment\D00859_simplified_norm.obj,.obj,9000,17146,17146,triangles,-0.5366784688201531,-0.3038445503913155,-0.2093737647789275,0.4633215311798469,0.38294224785386466,0.07678836684449442,1.0,0.6867867982451802,0.2861621316234219,1.2464208245288293
Apartment,step2_results\normalized\Apartment\D00860_simplified_norm.obj,.obj,9152,12591,12591,triangles,-0.4903629734077491,-0.40648209996488516,-0.29231215458530885,0.5096370265922509,0.2790820111027544,0.2549395588950091,1.0,0.6855641110676396,0.5472517134803179,1.33021900012408
Apartment,step2_results\normalized\Apartment\D00869_simplified_norm.obj,.obj,9020,16054,16054,triangles,-0.49934154622823684,-0.3631822526971961,-0.32828020923031653,0.5006584537717632,0.3342472520543163,0.22909514491472818,1.0,0.6974295047515124,0.5573753541450447,1.3405503345664622
