== Below 5k (kept to protect shape) ==
            cls  n_vertices  n_faces                                                                 path
AircraftBuoyant        4992     6565 step2_results\resampled\AircraftBuoyant\m1339_refined_simplified.obj
        Bookset         624      832           step2_results\resampled\Bookset\D01096_refined_clamped.obj
        Bookset        1614     3116           step2_results\resampled\Bookset\D01108_refined_clamped.obj
     PianoBoard        4912     9841     step2_results\resampled\PianoBoard\D00212_refined_simplified.obj
          Shelf         112      168               step2_results\resampled\Shelf\m857_refined_clamped.obj

== Above 10k ==
             cls  n_vertices  n_faces                                                         path
            City       10155     8961           step2_results\resampled\City\D01101_simplified.obj
            City       11580     8965           step2_results\resampled\City\D01195_simplified.obj
       DeskPhone       12487     8972      step2_results\resampled\DeskPhone\D00706_simplified.obj
           House       12452     8956          step2_results\resampled\House\D00574_simplified.obj
    PlantIndoors       40034     8963   step2_results\resampled\PlantIndoors\D00080_simplified.obj
PlantWildNonTree       10189     8975 step2_results\resampled\PlantWildNonTree\m972_simplified.obj
      Skyscraper       16662     8978     step2_results\resampled\Skyscraper\D00006_simplified.obj
      Skyscraper       30707     8979     step2_results\resampled\Skyscraper\D00058_simplified.obj
      Skyscraper       16488     8966     step2_results\resampled\Skyscraper\D00259_simplified.obj
      Skyscraper       21074     8983     step2_results\resampled\Skyscraper\D00520_simplified.obj
            Tree       24757     8976           step2_results\resampled\Tree\D00096_simplified.obj
            Tree       17889     8954           step2_results\resampled\Tree\D00200_simplified.obj
            Tree       23493     8966           step2_results\resampled\Tree\D00221_simplified.obj
            Tree       28516     8970           step2_results\resampled\Tree\D00223_simplified.obj
            Tree       12507     7304           step2_results\resampled\Tree\D00385_simplified.obj
            Tree       25310     8961           step2_results\resampled\Tree\D00439_simplified.obj
            Tree       14421     8962           step2_results\resampled\Tree\D00479_simplified.obj
            Tree       24092     8977           step2_results\resampled\Tree\D00533_simplified.obj
            Tree       16282     8959           step2_results\resampled\Tree\D00573_simplified.obj
            Tree       11361     4779           step2_results\resampled\Tree\D00612_simplified.obj
            Tree       18054     8964           step2_results\resampled\Tree\D00727_simplified.obj
            Tree       16724     8976           step2_results\resampled\Tree\D00765_simplified.obj
            Tree       17990     8956           step2_results\resampled\Tree\D00777_simplified.obj
            Tree       24504     8982           step2_results\resampled\Tree\D00834_simplified.obj
            Tree       11240     8963           step2_results\resampled\Tree\D00911_simplified.obj
            Tree       17867     8962           step2_results\resampled\Tree\D00996_simplified.obj
